ID,name,city,state,zip_code,email,phone
1,Photobean,Silver Spring,Maryland,20904,ghibbart0@umn.edu,202-459-7259
2,LiveZ,Lincoln,Nebraska,68524,ejuppe1@biblegateway.com,402-996-4928
3,Yodel,Savannah,Georgia,31405,rellcock2@gizmodo.com,912-822-3730
4,Npath,Washington,District of Columbia,20430,ltonkinson3@etsy.com,202-846-8172
5,Yakidoo,Atlanta,Georgia,30323,dnason4@eepurl.com,678-992-7907
6,Voonder,Harrisburg,Pennsylvania,17110,sarnfield5@tinypic.com,717-407-1759
7,Youfeed,Jamaica,New York,11436,chawke6@free.fr,917-229-0456
8,Skyble,Miami,Florida,33180,swyllie7@ebay.com,786-154-0149
9,Livetube,Saint Louis,Missouri,63136,vgowman8@hhs.gov,314-792-7418
10,Kwinu,Winston Salem,North Carolina,27150,fharvatt9@seesaa.net,336-154-3758
11,Riffpedia,Raleigh,North Carolina,27615,jeymera@reuters.com,919-683-4079
12,Quatz,Hartford,Connecticut,06145,tiveansb@gov.uk,860-758-3147
13,Fliptune,Oklahoma City,Oklahoma,73157,gslisbyc@virginia.edu,405-499-3344
14,Thoughtmix,New Haven,Connecticut,06533,wrickcordd@feedburner.com,203-489-9178
15,Trunyx,Richmond,Virginia,23203,bkhrishtafoviche@twitpic.com,804-928-0208
16,Babbleopia,Roanoke,Virginia,24024,mpulsterf@yellowpages.com,540-845-1749
17,Wordtune,El Paso,Texas,88525,cdobrowolskig@nyu.edu,915-894-3637
18,Babbleopia,Washington,District of Columbia,20231,hdevinnh@hugedomains.com,202-132-3050
19,Avamba,Washington,District of Columbia,20470,eghiriardellii@4shared.com,202-982-1756
20,Mynte,Memphis,Tennessee,38197,dourryj@ftc.gov,901-925-2569
21,Browsezoom,Louisville,Kentucky,40293,qridolfik@slideshare.net,502-844-6902
22,Quinu,Milwaukee,Wisconsin,53225,sholehousel@icio.us,414-899-3441
23,Blogtags,Colorado Springs,Colorado,80951,mdallam@guardian.co.uk,719-462-8762
24,Flipbug,Boston,Massachusetts,02203,tsoignen@blogspot.com,617-873-2545
